Kód,Název,Cena bez DPH,Cena s DPH,Poznamka
14602,PAČULI - 5 ml,68.60,83.00
14603,PAČULI - 10 ml,110.74,134.00
14604,PAČULI - 20 ml,204.96,248.00
14606,PAČULI - 50 ml,480.99,582.00
14601,PAČULI - vzorek 2 ml,51.24,62.00
14703,PETITGRAIN (POMERANČOVÉ LISTÍ) - 10 ml,110.74,134.00
14701,PETITGRAIN (POMERANČOVÉ LISTÍ) - vzorek 2 ml,51.24,62.00
14803,POMERANČ SLADKÝ - 10 ml,63.64,77.00
14804,POMERANČ SLADKÝ - 20 ml,111.57,135.00
14801,POMERANČ SLADKÝ - vzorek 2 ml,42.98,52.00
15112,ROZMARÝN - 5 ml,71.07,86.00
15113,ROZMARÝN - 10 ml,114.05,138.00
15114,ROZMARÝN - 20 ml,209.09,253.00
15116,ROZMARÝN - 50 ml,489.26,592.00
15117,ROZMARÝN - 100 ml,904.96,1 095.00
15111,ROZMARÝN - vzorek 2 ml,52.89,64.00
15303,RŮŽOVÁ PALMA - 10 ml,100.00,121.00
15301,RŮŽOVÁ PALMA - vzorek 2 ml,47.11,57.00
15701,"SKOŘICE, KŮRA - 2 ml",92.56,112.00
15702,"SKOŘICE, KŮRA - 5 ml",180.17,218.00
15703,"SKOŘICE, KŮRA - 10 ml",309.09,374.00
15704,"SKOŘICE, KŮRA - 20 ml",565.29,684.00
15706,"SKOŘICE, KŮRA - 50 ml",1 271.90,1 539.00
15707,"SKOŘICE, KŮRA - 100 ml",2 352.89,2 847.00
15751,"SMRK ZTEPILÝ, jehličí, PSP - 2 ml",75.21,91.00
15752,"SMRK ZTEPILÝ, jehličí, PSP - 5 ml",140.50,170.00
15753,"SMRK ZTEPILÝ, jehličí, PSP - 10 ml",233.06,282.00
15754,"SMRK ZTEPILÝ, jehličí, PSP - 20 ml",442.98,536.00
15756,"SMRK ZTEPILÝ, jehličí, PSP - 50 ml",1 004.13,1 215.00
15757,"SMRK ZTEPILÝ, jehličí, PSP - 100 ml",1 857.85,2 248.00
15902,ŠALVĚJ LÉKAŘSKÁ - 5 ml,75.21,91.00
15901,ŠALVĚJ LÉKAŘSKÁ - vzorek 2 ml,54.55,66.00
16002,"ŠALVĚJ MUŠKÁTOVÁ, DIVOKÁ, PSP - 5 ml",204.96,248.00
16003,"ŠALVĚJ MUŠKÁTOVÁ, DIVOKÁ, PSP - 10 ml",388.43,470.00
16004,"ŠALVĚJ MUŠKÁTOVÁ, DIVOKÁ, PSP - 20 ml",719.01,870.00
16006,"ŠALVĚJ MUŠKÁTOVÁ, DIVOKÁ, PSP - 50 ml",1 653.72,2 001.00
16007,"ŠALVĚJ MUŠKÁTOVÁ, DIVOKÁ, PSP - 100 ml",2 894.21,3 502.00
16001,"ŠALVĚJ MUŠKÁTOVÁ, DIVOKÁ, PSP - vzorek 2 ml",104.13,126.00
16051,TANGERINKA - ÉTERICKÝ OLEJ - 2 ml,44.63,54.00
16053,TANGERINKA - ÉTERICKÝ OLEJ - 10 ml,75.21,91.00
11801,TEA TREE (ČAJOVNÍK) - 2 ml,48.76,59.00
11803,TEA TREE (ČAJOVNÍK) - 10 ml,94.21,114.00
11804,TEA TREE (ČAJOVNÍK) - 20 ml,171.07,207.00
11805,TEA TREE (ČAJOVNÍK) - 50 ml,390.91,473.00
11807,TEA TREE (ČAJOVNÍK) - 100 ml,723.14,875.00
16501,YLANG-YLANG EXTRA - 2 ml,126.45,153.00
16502,YLANG-YLANG EXTRA - 5 ml,247.11,299.00
16503,YLANG-YLANG EXTRA - 10 ml,457.02,553.00
20207,LNĚNÝ OLEJ LISOVANÝ ZA STUDENA - 100 ml,89.26,108.00
20208,LNĚNÝ OLEJ LISOVANÝ ZA STUDENA - 200 ml,150.41,182.00
20209,LNĚNÝ OLEJ LISOVANÝ ZA STUDENA - 500 ml,335.54,406.00
20406,OLEJ Z PŠENIČNÝCH KLÍČKŮ LISOVANÝ ZA STUDENA - 50 ml,119.83,145.00
20757,OLEJ Z PECIČEK VINNÝCH HROZNŮ - 100 ml,123.14,149.00
20457,"OLIVOVÝ OLEJ  LZS, PSP - 100 ml",96.69,117.00
20458,"OLIVOVÝ OLEJ  LZS, PSP - 200 ml",155.37,188.00
20506,"PUPALKOVÝ OLEJ LZS, PSP - 50 ml",178.51,216.00
20507,"PUPALKOVÝ OLEJ LZS, PSP - 100 ml",330.58,400.00
20606,"SEZAMOVÝ OLEJ  LZS, PSP - 50 ml",81.82,99.00
11303,BOROVICE LESNÍ - 10 ml,85.95,104.00
11304,BOROVICE LESNÍ - 20 ml,152.89,185.00
11306,BOROVICE LESNÍ - 50 ml,342.15,414.00
11301,BOROVICE LESNÍ - vzorek 2 ml,47.11,57.00
16743,NETAKO - 10 ml,249.59,302.00
16744,NETAKO - 20 ml,409.92,496.00
20217,MAKADAMIOVÝ OLEJ - 100 ml,156.20,189.00
20218,MAKADAMIOVÝ OLEJ - 200 ml,271.90,329.00
16753,LEMONIA - 10 ml,173.55,210.00
16754,LEMONIA - 20 ml,259.50,314.00
19317,DELFÍNEK - DĚTSKÝ KOUPELOVÝ OLEJ - 100 ml,215.70,261.00
19318,DELFÍNEK - DĚTSKÝ KOUPELOVÝ OLEJ - 200 ml,361.98,438.00
19319,DELFÍNEK - DĚTSKÝ KOUPELOVÝ OLEJ - 500 ml,771.07,933.00
1931,DELFÍNEK - DĚTSKÝ KOUPELOVÝ OLEJ - vzorek 13 ml,44.63,54.00
12152,GERANIUM - 5 ml,89.26,108.00
12153,GERANIUM - 10 ml,154.55,187.00
12154,GERANIUM - 20 ml,295.04,357.00
12156,GERANIUM - 50 ml,710.74,860.00
12157,GERANIUM - 100 ml,1 314.05,1 590.00
12151,GERANIUM - vzorek 2 ml,59.50,72.00
13223,"LAVANDIN GROSSO, PSP - 10 ml",89.26,108.00
13224,"LAVANDIN GROSSO, PSP - 20 ml",165.29,200.00
13221,"LAVANDIN GROSSO, PSP - vzorek 2 ml",47.11,57.00
20317,MERUŇKOVÝ OLEJ lisovaný za studena - 100 ml,166.94,202.00
20556,"RICINOVÝ OLEJ LZS, PSP - 50 ml",80.99,98.00
20668,"SLUNEČNICOVÝ OLEJ LZS, PSP - 200 ml",109.59,132.60
20669,"SLUNEČNICOVÝ OLEJ LZS, PSP - 500 ml",168.60,204.00
20660,"SLUNEČNICOVÝ OLEJ LZS, PSP - 1000 ml",309.09,374.00
13102,KORIANDR - 5 ml,57.85,70.00
13103,KORIANDR - 10 ml,102.48,124.00
13104,KORIANDR - 20 ml,189.26,229.00
13106,KORIANDR - 50 ml,435.54,527.00
13107,KORIANDR - 100 ml,761.98,922.00
13101,KORIANDR - vzorek 2 ml,45.45,55.00
14302,MYRTA - 5 ml,164.46,199.00
14301,MYRTA - vzorek 2 ml,92.56,112.00
14652,PEPŘ ČERNÝ - 5 ml,123.14,149.00
14651,PEPŘ ČERNÝ - vzorek 2 ml,73.55,89.00
15922,ŠALVĚJ LEVANDULOLISTÁ - 5 ml,82.64,100.00
15921,ŠALVĚJ LEVANDULOLISTÁ - vzorek 2 ml,57.02,69.00
16602,YSOP (Yzop) - 5 ml,158.68,192.00
16601,YSOP (Yzop) - vzorek 2 ml,90.08,109.00
19534,HYDRATAČNÍ PLEŤOVÝ RŮŽOVÝ OLEJ - 20 ml,279.34,338.00
19665,KALISTO - BALZÁM NA RUCE - 30 ml,234.71,284.00
19267,LIGIA - MYCÍ BALZÁM NA VLASY - 100 ml,263.64,319.00
19268,LIGIA - MYCÍ BALZÁM NA VLASY - 200 ml,467.77,566.00
1926,LIGIA - MYCÍ BALZÁM NA VLASY - vzorek 13 ml,50.41,61.00
50021,"NEROLI  IM-PULS OLEJ, 99 % PSP - 8 ml",378.51,458.00
50011,"RŮŽE IM-PULS OLEJ, 99 % PSP - 8 ml",350.41,424.00
19544,OLIBANUM regener. olej a pleť. maska - 20 ml,309.92,375.00
19524,PLEŤOVÝ OLEJ LEVANDULE - 20 ml,261.16,316.00
19455,"RŮŽOVÁ VODA, HYDROLÁT, PSP - 30 ml",119.83,145.00
19457,"RŮŽOVÁ VODA, HYDROLÁT, PSP - 100 ml",259.50,314.00
19458,"RŮŽOVÁ VODA, HYDROLÁT, PSP - 200 ml",483.47,585.00
11312,"BOROVICE LESNÍ, DIVOKÁ, KbA, PSP - 5 ml",112.40,136.00
11311,"BOROVICE LESNÍ, DIVOKÁ, KbA, PSP - vzorek 2 ml",68.60,83.00
19387,MANDARINKOVO-LEVANDULOVÝ MYCÍ BALZÁM - 100 ml,248.76,301.00
19388,MANDARINKOVO-LEVANDULOVÝ MYCÍ BALZÁM - 200 ml,435.54,527.00
